Lectin Name,Short Names,UniProt ID,PDB IDs,LfDB IDs,Monosaccharide Specificities,Species,Taxonomy ID,MCAW IDs
Glucans biosynthesis protein G,,Q9KSG8,,,,Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961),243277,
Glucans biosynthesis protein G,,Q89BU4,,,,Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110),224911,
Glucans biosynthesis protein G,,B1X9G2,,,,Escherichia coli (strain K12 / DH10B),316385,
Glucans biosynthesis protein G,,B7LT86,,,,Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CCUG 18766 / IAM 14443 / JCM 21226 / LMG 7866 / NBRC 102419 / NCTC 12128 / CDC 0568-73),585054,
Glucans biosynthesis protein G,,B7LFG0,,,,Escherichia coli (strain 55989 / EAEC),585055,
Glucans biosynthesis protein G (Fragment),,P20400,,,,Pseudomonas syringae pv. syringae,321,
Glucans biosynthesis protein G 1,,Q8EF79,,,,Shewanella oneidensis (strain MR-1),211586,
Glucans biosynthesis protein G 2,,Q8EDL2,,,,Shewanella oneidensis (strain MR-1),211586,
Glucoamylase,,P29761,,,,Clostridium sp. (strain G0005),72582,
Glucoamylase 1,,P22861,,,,Schwanniomyces occidentalis,27300,
Glucoamylase 1,,O74254,,,,Candida albicans (strain SC5314 / ATCC MYA-2876),237561,
Glucokinase regulatory protein,,Q91X44,,,,Mus musculus,10090,
Glucokinase regulatory protein,,Q14397,"[""4BB9"",""4BBA"",""4LY9"",""4MQU"",""4MRO"",""4MSU"",""4OHK"",""4OHM"",""4OHO"",""4OHP"",""4OLH"",""4OP1"",""4OP2"",""4OP3"",""4PX2"",""4PX3"",""4PX5"",""4PXS""]",,,Homo sapiens,9606,
Glucokinase regulatory protein,,Q07071,"[""4LC9""]",,,Rattus norvegicus,10116,
Glucose-6-phosphate 1-dehydrogenase,,P05370,,,,Rattus norvegicus,10116,
Glucose-6-phosphate 1-dehydrogenase 2,,P97324,,,,Mus musculus,10090,
Glucose-6-phosphate 1-dehydrogenase X,,Q00612,,,,Mus musculus,10090,
Glucose-6-phosphate 1-epimerase,,Q03161,"[""2CIQ"",""2CIR"",""2CIS""]",,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),559292,
Glucosidase 2 subunit alpha,,P38138,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),559292,
Glucosidase 2 subunit alpha,,Q9US55,,,,Schizosaccharomyces pombe (strain 972 / ATCC 24843),284812,
Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,,P47856,,,,Mus musculus,10090,
Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,,P82808,,,,Rattus norvegicus,10116,
"Glycogen phosphorylase, brain form",,Q8CI94,,,,Mus musculus,10090,
"Glycogen phosphorylase, brain form (Fragment)",,P53534,,,,Rattus norvegicus,10116,
"Glycogen phosphorylase, liver form",,P09811,,,,Rattus norvegicus,10116,
"Glycogen phosphorylase, liver form",,Q9ET01,,,,Mus musculus,10090,
"Glycogen phosphorylase, muscle form",,P09812,,,,Rattus norvegicus,10116,
"Glycogen phosphorylase, muscle form",,Q9WUB3,,,,Mus musculus,10090,
Glycoprotein 42,,Q1HVG2,,,,Epstein-Barr virus (strain AG876),82830,
Glycoprotein 42,,P0C6Z5,"[""5T1D"",""6C5V""]",,,Epstein-Barr virus (strain GD1),10376,
Glycoprotein 42,,P03205,"[""1KG0"",""3FD4"",""5W0K""]",,,Epstein-Barr virus (strain B95-8),10377,
Griffithsin,,P84801,"[""2GTY"",""2GUC"",""2GUD"",""2GUE"",""2GUX"",""2HYQ"",""2HYR"",""2NU5"",""2NUO"",""3LKY"",""3LL0"",""3LL1"",""3LL2""]",,,Griffithsia sp. (strain Q66D336),373036,
Grifin,,Q9D1U0,,,,Mus musculus,10090,
Grifin,,O88644,,,,Rattus norvegicus,10116,
Grifin,,A4D1Z8,,,,Homo sapiens,9606,
Haemagglutinin I,,O60949,"[""3A5P""]",,,Physarum polycephalum,5791,
"Halilectin 3, alpha chain (Fragment)",,C0HK22,,,,Haliclona caerulea,1131259,
"Halilectin 3, beta chain",,C0HK21,,,,Haliclona caerulea,1131259,
Halomucin,,Q18DN4,,,,Haloquadratum walsbyi (strain DSM 16790 / HBSQ001),362976,
Heat-labile enterotoxin B chain,,P32890,"[""1DJR"",""1EEF"",""1EFI"",""1FD7"",""1HTL"",""1JQY"",""1LT3"",""1LT4"",""1LT5"",""1LT6"",""1LTA"",""1LTB"",""1LTG"",""1LTI"",""1LTS"",""1LTT"",""1PZI"",""1TET"",""2XRQ"",""2XRS"",""5LZI"",""6IAL""]",,,Escherichia coli,562,
Heat-labile enterotoxin B chain,,P0CK94,"[""1B44"",""1LTR"",""2O2L"",""3EFX""]",,,Escherichia coli,562,
"Heat-labile enterotoxin IIB, B chain",,P43529,"[""1QB5"",""1QCB"",""1TII"",""4FNF"",""4FO2"",""4FP5"",""5G3L""]",,,Escherichia coli,562,
Helix aspersa agglutinin (HAA),,A0A0R4I963,"[""4Q56""]",,,Cornu aspersum,6535,
Hemagglutinin,,P03452,"[""1RU7"",""1RVX"",""1RVZ""]",,,Influenza A virus (strain A/Puerto Rico/8/1934 H1N1),211044,
Hemagglutinin,,Q9Q0U6,"[""3S11"",""4MHH"",""4MHI"",""4MHJ""]",,,Influenza A virus (strain A/Goose/Guangdong/1/1996 H5N1 genotype Gs/Gd),93838,
Hemagglutinin,,E0YNJ7,"[""4CYV"",""4CYW"",""4CYZ"",""4CZ0""]",,,Influenza A virus (A/mallard/Sweden/51/2002(H10N2)),757360,
Hemagglutinin,,Q9WFX3,"[""1RD8"",""1RUZ"",""2WRG"",""3GBN"",""3LZF"",""3R2X"",""4EEF"",""4GXU"",""4GXX"",""4JUG"",""4JUH"",""4JUJ"",""4PY8"",""5VMG"",""5VMJ""]",,,Influenza A virus (strain A/Brevig Mission/1/1918 H1N1),88776,
Hemagglutinin,,M4YV75,"[""4BSA"",""4BSB"",""4BSC"",""4BSD"",""4BSE"",""4BSF""]",,,Influenza A virus (A/Hangzhou/1/2013(H7N9)),1314758,
Hemagglutinin,,P03442,"[""1IBN"",""1IBO"",""1MQL"",""1MQM"",""1MQN""]",,,Influenza A virus (strain A/Duck/Ukraine/1/1963 H3N8),385580,
Hemagglutinin,,Q82500,"[""1RV0"",""1RVT""]",,,Influenza A virus (A/swine/St-Hyacinthe/148/1990(H1N1)),382853,
Hemagglutinin,,P03438,"[""1FRG"",""1HGD"",""1HGE"",""1HGF"",""1HGH"",""1HGI"",""1HGJ"",""1KEN"",""1QFU""]",,,Influenza A virus (strain A/X-31 H3N2),132504,
Hemagglutinin,,Q0A448,"[""4D00""]",,,Influenza A virus (strain A/Duck/Germany/1949 H10N7),382838,
Hemagglutinin,,Q701T7,"[""1TI8""]",,,Influenza A virus (A/turkey/Italy/220158/2002(H7N3)),265121,
Hemagglutinin,,P03437,"[""1EO8"",""1FYT"",""1HA0"",""1HGG"",""1HTM"",""1J8H"",""1KEN"",""1KG0"",""1PYW"",""1QFU"",""1QU1"",""2HMG"",""2VIR"",""2VIS"",""2VIT"",""2VIU"",""2YPG"",""3EYM"",""3HMG"",""3S4S"",""3S5L"",""3VUN"",""4C56"",""4HMG"",""5HMG"",""6E56"",""6N5D"",""6N5E"",""6XPX"",""6Y5L""]",,,Influenza A virus (strain A/Aichi/2/1968 H3N2),387139,
Hemagglutinin,,C7S226,"[""3KU3"",""3KU5"",""3KU6"",""3QQB"",""3QQE"",""3QQI"",""3QQO"",""4HF5"",""4HLZ""]",,,Influenza A virus (strain A/Japan/305/1957 H2N2),387161,
Hemagglutinin,,B7NYS1,"[""3M5G"",""3M5H"",""3M5I"",""3M5J""]",,,Influenza A virus (A/environment/New York/30732-1/2005(H7N2)),490450,
Hemagglutinin (Fragment),,C5MV42,"[""3M6S""]",,,Influenza A virus (A/Darwin/2001/2009(H1N1)),650110,
Hemagglutinin (Fragment),,Q1KHJ8,"[""2FK0"",""6PD3"",""6PD5"",""6PD6"",""6VMZ""]",,,Influenza A virus (A/chicken/Vietnam/4/2003(H5N1)),380835,
Hemagglutinin (Fragment),,C7C6F1,"[""3HTO"",""3HTP"",""3HTQ"",""3HTT""]",,,Influenza A virus (A/WDK/JX/12416/2005(H1N1)),666057,
Hemagglutinin (Fragment),,Q6GYW3,"[""1TI8"",""4BSG"",""4BSH"",""5JW3""]",,,Influenza A virus (A/turkey/Italy/214845/2002(H7N3)),265120,
Hemagglutinin (Fragment),,P03462,"[""2RFT"",""2RFU"",""3BT6""]",,,Influenza B virus (strain B/Hong Kong/8/1973),427826,
Hemagglutinin (Fragment),,Q66QC3,"[""2IBX""]",,,Influenza A virus (A/chicken/Viet Nam/HauGiang-617/2004(H5N1)),291634,
Hemagglutinin (Fragment),,Q80A30,"[""3S12"",""3S13""]",,,Influenza A virus (strain A/Chicken/Hong Kong/YU562/2001 H5N1 genotype B),196426,
Hemagglutinin (Fragment),,G0KQM4,"[""4BSI""]",,,Influenza A virus (A/turkey/Italy/8458/2002(H7N3)),1069178,
Hemagglutinin (Fragment),,Q6DQ34,"[""3ZNK"",""3ZNL"",""3ZNM"",""3ZP0"",""3ZP1"",""3ZP2"",""3ZP3"",""3ZP6"",""3ZPA"",""3ZPB"",""4BGW"",""4BGX"",""4BGY"",""4CQP"",""4CQQ"",""4CQR"",""4CQS"",""4CQU"",""4CQZ"",""4CR0"",""5AJM"",""5JW4"",""6A0Z""]",,,Influenza A virus (A/Vietnam/1194/2004(H5N1)),644788,
Hemagglutinin component HA-17 type D,,Q9LBR4,"[""2E4M""]",,,Clostridium botulinum D phage,29342,
Hemagglutinin components HA-70 type C,,P46085,"[""2ZOE"",""2ZS6"",""4EN6"",""4EN7"",""4EN8"",""4EN9""]",,,Clostridium botulinum C phage,12336,
Hemagglutinin glycoprotein,,P08362,"[""2RKC"",""2ZB5"",""2ZB6"",""3ALW"",""3ALX"",""3ALZ"",""3INB""]",,,Measles virus (strain Edmonston),11235,
Hemagglutinin-esterase,,P15776,"[""3CL4"",""3CL5""]",,,Bovine coronavirus (strain Mebus),11132,
Hemagglutinin-esterase,,P0C0V9,"[""3I26"",""3I27""]",,,Breda virus 1,360393,
Hematopoietic progenitor cell antigen CD34,,Q64314,,,,Mus musculus,10090,
Hematopoietic progenitor cell antigen CD34,,Q28270,,,,Canis lupus familiaris,9615,
Hematopoietic progenitor cell antigen CD34,,P28906,,,,Homo sapiens,9606,
Hemocytin,,P98092,,,,Bombyx mori,7091,
Hemolymph 65 kDa lectin BG01 (Fragment),,P80742,,,,Biomphalaria glabrata,6526,
Hemolymph 65 kDa lectin BG04 (Fragment),,P80743,,,,Biomphalaria glabrata,6526,
Hemolymph 65 kDa lectin BG05 (Fragment),,P80744,,,,Biomphalaria glabrata,6526,
Hemolymph 65 kDa lectin BG06 (Fragment),,P80745,,,,Biomphalaria glabrata,6526,
Hemolymph lipopolysaccharide-binding protein,,P26305,,,,Periplaneta americana,6978,
Hemolysin,,P09545,"[""1XEZ"",""3O44"",""4GX7""]",,,Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961),243277,
Hemolysin 4,,Q08677,,,,Aeromonas salmonicida,645,
Hemolysin ahh1,,P55870,,,,Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC 13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049),380703,
Hemolysin-related protein,,Q9KTH2,"[""5V6C"",""5V6F"",""5V6K""]",,,Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961),243277,
Hemolytic lectin LSLa,,Q7Z8V1,"[""1W3A"",""1W3F"",""1W3G"",""2Y9F"",""2Y9G""]",,,Laetiporus sulphureus,5630,"[""1268"",""1269"",""1289""]"
Hepatic lectin,,P02707,,,,Gallus gallus,9031,
Hyaluronate lyase,,Q53591,"[""1F1S"",""1I8Q"",""1LXM""]",,,Streptococcus agalactiae serotype III (strain NEM316),211110,
Hyaluronate lyase,,P0CZ01,,,,Cutibacterium acnes (strain DSM 16379 / KPA171202),267747,
Hyaluronate lyase,,P0CZ00,,,,Cutibacterium acnes,1747,
Hyaluronate lyase,,Q59801,,,,Staphylococcus aureus (strain NCTC 8325 / PS 47),93061,
Hyaluronate lyase,,Q54873,"[""1C82"",""1EGU"",""1F9G"",""1LOH"",""1LXK"",""1N7N"",""1N7O"",""1N7P"",""1N7Q"",""1N7R"",""1OJM"",""1OJN"",""1OJO"",""1OJP"",""1W3Y"",""2BRP"",""2BRV"",""2BRW"",""4D0Q""]",,,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),170187,
Hydroxyproline O-galactosyltransferase GALT2,,A7XDQ9,,,,Arabidopsis thaliana,3702,
Hydroxyproline O-galactosyltransferase GALT3,,Q9ASW1,,,,Arabidopsis thaliana,3702,
Hydroxyproline O-galactosyltransferase GALT4,,Q8GXG6,,,,Arabidopsis thaliana,3702,
Hydroxyproline O-galactosyltransferase GALT5,,Q8RX55,,,,Arabidopsis thaliana,3702,
Hydroxyproline O-galactosyltransferase GALT6,,Q9LV16,,,,Arabidopsis thaliana,3702,
Hypnin-A3,"[""HypninA3""]",P85888,,"[""LfDB0258""]",,Hypnea japonica,105606,
Hypothetical fimbrial-like protein ydeQ,,A0A0H2V7F6,"[""5LNE"",""5LNG""]",,,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),199310,
I lectin (Fragment),,Q38789,"[""1BWU"",""1KJ1""]",,,Allium sativum,4682,
Igh protein,,Q99LC4,"[""1AE6"",""1AFV"",""1E6J"",""1F58"",""1GIG"",""1JHK"",""1JNL"",""1JNN"",""2A1W"",""2NTF"",""2VIR"",""2VIS"",""2VIT"",""3HKF"",""4Q0X"",""5MP3"",""6C5H"",""6C5I"",""6C5J"",""6C5K""]",,,Mus musculus,10090,
Immune-associated nucleotide-binding protein 10,,O81025,,,,Arabidopsis thaliana,3702,
Immunomodulatory protein FIP-Fve,,P80412,"[""1OSY""]",,,Flammulina velutipes,38945,
Immunomodulatory protein Ling Zhi-8,,P14945,"[""3F3H""]",,,Ganoderma lucidum,5315,
Inactive protein RESTRICTED TEV MOVEMENT 1,,D9UBG0,,,,Arabidopsis thaliana,3702,
Inactive protein RESTRICTED TEV MOVEMENT 1,,D9UBI3,,,,Arabidopsis thaliana,3702,
Integral membrane protein DGCR2/IDD,,P98153,,,,Homo sapiens,9606,
Integral membrane protein DGCR2/IDD,,P98154,,,,Mus musculus,10090,
Intelectin-1,,Q8WWA0,"[""4WMQ"",""4WMY"",""6USC""]",,,Homo sapiens,9606,
Intelectin-1,,Q5PPM0,"[""4WMO"",""4WN0"",""5ZC0""]",,,Xenopus laevis,8355,
Intelectin-1a,,O88310,,,,Mus musculus,10090,
Interleukin-2,,P17108,,,,Rattus norvegicus,10116,
Interleukin-2,,P60568,"[""1IRL"",""1M47"",""1M48"",""1M49"",""1M4A"",""1M4B"",""1M4C"",""1NBP"",""1PW6"",""1PY2"",""1QVN"",""1Z92"",""2B5I"",""2ERJ"",""3INK"",""3QAZ"",""3QB1"",""4NEJ"",""4NEM"",""5LQB"",""5M5E"",""5UTZ"",""6LX3"",""6LXW"",""6VWU"",""6YE3"",""7DR4"",""7M2G""]",,,Homo sapiens,9606,
Interleukin-2,,P04351,"[""4YQX"",""4YUE""]",,,Mus musculus,10090,
Intermembrane lipid transfer protein Vps13D,,Q9VU08,,,,Drosophila melanogaster,7227,
Inulin-specific lectin (Fragment),,P84526,,,,Xerocomus spadiceus,279525,
Ipomoelin,,P93193,"[""3R50"",""3R51"",""3R52"",""4DDN""]",,,Ipomoea batatas,4120,
Isomalto-dextranase,,Q44052,,,,Arthrobacter globiformis,1665,
Jacalin-related lectin,,A0A2Z5V8U8,"[""5YRH"",""5YRI"",""5YRJ"",""5YRK"",""5YRL"",""5YRM""]",,,Pteria penguin,113549,
Jacalin-related lectin,,B6F0T7,"[""5YRE"",""5YRF"",""5YRG"",""5YRH"",""5YRI"",""5YRJ""]",,,Pteria penguin,113549,
Jacalin-related lectin 10,,Q8GWI7,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 11,,Q5XF82,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 12,,Q0WMR0,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 13,,Q9ZU13,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 14,,F4I837,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 15,,F4I9R6,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 15,,H3JUC3,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 16,,O80735,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 17,,O80736,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 18,,O80737,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 19,,Q9SSM3,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 2,,Q9MA49,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 20,,O80998,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 22,,O80950,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 23,,O80948,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 24,,Q84X07,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 25,,O22829,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 3,,F4HQX1,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 32,,O04312,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 33,,O04311,"[""2JZ4""]",,,Arabidopsis thaliana,3702,
Jacalin-related lectin 34,,O04310,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 35,,O04309,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 36,,Q9LIF8,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 37,,Q9M1A9,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 38,,Q9M1A7,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 39,,Q9M1A6,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 4,,Q9LQ31,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 40,,Q9LKR6,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 41,,Q9FGC5,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 42,,Q9FGC4,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 43,,Q9FFW7,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 44,,Q9FFW6,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 45,,Q9FNM2,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 46,,Q9LTA8,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 47,,Q9LTA7,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 48,,Q9LTY2,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 5,,Q9ZU23,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 8,,F4IB94,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin 9,,F4IB95,,,,Arabidopsis thaliana,3702,
Jacalin-related lectin Calsepa,"[""Calsepa""]",P93114,"[""1OUW"",""5AV7"",""5XFI""]","[""LfDB0156""]","[""Glc"",""Man""]",Calystegia sepium,47519,
Jararafibrase-3 (Fragment),,P0C6S5,,,,Bothrops jararaca,8724,
Jeltraxin,,Q9PTT2,,,,Lepidobatrachus laevis,8376,
K88 fimbrial protein AB,,P02970,"[""4WE2""]",,,Escherichia coli,562,
K88 fimbrial protein AD,,P14191,"[""3GEA"",""3GEW"",""3GGH"",""3HLR"",""4WEI"",""4WEU""]",,,Escherichia coli,562,
"Keratin, type II cytoskeletal 1",,Q6IMF3,,,,Rattus norvegicus,10116,
"Keratin, type II cytoskeletal 1",,P04104,,,,Mus musculus,10090,
"Keratin, type II cytoskeletal 1",,P04264,"[""4ZRY"",""6E2J"",""6UUI""]",,,Homo sapiens,9606,
Killer cell lectin-like receptor 2,,Q60660,,,,Mus musculus,10090,
Killer cell lectin-like receptor 3,,Q64329,"[""1P1Z"",""1P4L"",""3C8J"",""3C8K"",""5J6G""]",,,Mus musculus,10090,
Killer cell lectin-like receptor 4,,Q60651,,,,Mus musculus,10090,
Killer cell lectin-like receptor 5,,Q60652,,,,Mus musculus,10090,
Killer cell lectin-like receptor 6,,Q60653,,,,Mus musculus,10090,
Killer cell lectin-like receptor 7,,Q60654,"[""3CAD""]",,,Mus musculus,10090,
Killer cell lectin-like receptor 8,,Q60682,"[""4JO8""]",,,Mus musculus,10090,
Killer cell lectin-like receptor subfamily B member 1,,Q12918,"[""5MGR"",""5MGS"",""5MGT""]",,,Homo sapiens,9606,
Killer cell lectin-like receptor subfamily B member 1,,Q0ZUP0,,,,Rattus norvegicus,10116,
Killer cell lectin-like receptor subfamily B member 1,,Q0ZUP1,,,,Mus musculus,10090,
Killer cell lectin-like receptor subfamily B member 1A,,P27811,"[""2M94"",""3M9Z"",""3T3A""]",,,Mus musculus,10090,
Killer cell lectin-like receptor subfamily B member 1A,,P27471,,,,Rattus norvegicus,10116,
Killer cell lectin-like receptor subfamily B member 1B allele A,,P27812,,,,Mus musculus,10090,
Killer cell lectin-like receptor subfamily B member 1B allele A,,A4KWA1,"[""5J2S""]",,,Rattus norvegicus,10116,
Killer cell lectin-like receptor subfamily B member 1B allele B,,Q5NKN4,,,,Rattus norvegicus,10116,
Killer cell lectin-like receptor subfamily B member 1B allele B,,Q99JB4,"[""5TZN"",""6E7D""]",,,Mus musculus,10090,
Killer cell lectin-like receptor subfamily B member 1B allele C,,Q5NKN2,,,,Rattus norvegicus,10116,
Killer cell lectin-like receptor subfamily B member 1C,,P27814,,,,Mus musculus,10090,
Killer cell lectin-like receptor subfamily B member 1F,,Q63378,,,,Rattus norvegicus,10116,
Killer cell lectin-like receptor subfamily B member 1F,,Q8VD98,,,,Mus musculus,10090,
Killer cell lectin-like receptor subfamily E member 1,,Q80ZC8,,,,Rattus norvegicus,10116,
Killer cell lectin-like receptor subfamily E member 1,,Q8CJC7,,,,Mus musculus,10090,
Killer cell lectin-like receptor subfamily F member 1,,Q9NZS2,,,,Homo sapiens,9606,
Killer cell lectin-like receptor subfamily F member 1,,Q8MI05,,,,Macaca fascicularis,9541,
Killer cell lectin-like receptor subfamily F member 2,,D3W0D1,"[""4IOP""]",,,Homo sapiens,9606,
Killer cell lectin-like receptor subfamily G member 1,,O88713,"[""3FF8"",""3FF9""]",,,Mus musculus,10090,
Killer cell lectin-like receptor subfamily G member 1,,Q64335,,,,Rattus norvegicus,10116,
Killer cell lectin-like receptor subfamily G member 1,,Q96E93,"[""3FF7""]",,,Homo sapiens,9606,
Killer cell lectin-like receptor subfamily G member 2,,A4D1S0,,,,Homo sapiens,9606,
Killer cell lectin-like receptor subfamily G member 2,,Q3UM83,,,,Mus musculus,10090,
Killer cell lectin-like receptor subfamily I member 1,,B2KG20,,,,Mus musculus,10090,
Killer cell lectin-like receptor subfamily I member 1,,Q5DT39,,,,Rattus norvegicus,10116,
Killer cell lectin-like receptor subfamily I member 2,,Q5DT36,,,,Mus musculus,10090,
Killer cell lectin-like receptor subfamily I member 2,,Q5DT37,,,,Rattus norvegicus,10116,
Kojibiose phosphorylase,,Q8L163,,,,Thermoanaerobacter brockii,29323,
Kojibiose phosphorylase,,P77154,,,,Escherichia coli (strain K12),83333,
Kojibiose phosphorylase,,Q8RBL8,,,,Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4),273068,
L-arabinose-binding periplasmic protein,,P02924,"[""1ABE"",""1ABF"",""1APB"",""1BAP"",""2WRZ"",""5ABP"",""6ABP"",""7ABP"",""8ABP"",""9ABP""]",,,Escherichia coli (strain K12),83333,
L-erythrulose 1-kinase,,A0R758,,,,Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155),246196,
L-rhamnose-binding lectin,,A0A090BWT0,"[""5H4S""]",,,Toxopneustes pileolus,39971,
L-rhamnose-binding lectin CSL3,,P86179,"[""2ZX0"",""2ZX1"",""2ZX2"",""2ZX3"",""2ZX4""]",,,Oncorhynchus keta,8018,
L-rhamnose-binding lectin ELEL-1,,C0HK24,,,,Echinometra lucunter,105361,
L-rhamnose-binding lectin SML,,C0HK23,,,,Scomberomorus niphonius,321164,
L-selectin,,P14151,"[""2LGF"",""3CFW"",""5VC1""]",,,Homo sapiens,9606,
L-type lectin-domain containing receptor kinase I.3,,Q9M3D8,,,,Arabidopsis thaliana,3702,
L-type lectin-domain containing receptor kinase I.7,,Q9LSS0,,,,Arabidopsis thaliana,3702,
L-type lectin-domain containing receptor kinase I.8,,Q9LSR9,,,,Arabidopsis thaliana,3702,
L-type lectin-domain containing receptor kinase I.9,,Q9LSR8,,,,Arabidopsis thaliana,3702,
L-type lectin-domain containing receptor kinase IV.1,,O80939,,,,Arabidopsis thaliana,3702,
L-type lectin-domain containing receptor kinase IV.2,,Q9M345,,,,Arabidopsis thaliana,3702,
L-type lectin-domain containing receptor kinase IV.3,,O81292,,,,Arabidopsis thaliana,3702,
L-type lectin-domain containing receptor kinase IV.4,,O81291,,,,Arabidopsis thaliana,3702,
L-type lectin-domain containing receptor kinase IX.1,,Q9LXA5,,,,Arabidopsis thaliana,3702,
L-type lectin-domain containing receptor kinase IX.2,,Q9LSL5,,,,Arabidopsis thaliana,3702,
L-type lectin-domain containing receptor kinase S.1,,Q9M9E0,,,,Arabidopsis thaliana,3702,
L-type lectin-domain containing receptor kinase S.4,,Q9M2S4,,,,Arabidopsis thaliana,3702,
L-type lectin-domain containing receptor kinase S.6,,Q9FHX3,,,,Arabidopsis thaliana,3702,
L-type lectin-domain containing receptor kinase S.7,,A0A0P0VIP0,,,,Oryza sativa subsp. japonica,39947,
L-type lectin-domain containing receptor kinase SIT1,,Q6H7D2,,,,Oryza sativa subsp. japonica,39947,
L-type lectin-domain containing receptor kinase SIT2,,Q7XUN6,,,,Oryza sativa subsp. japonica,39947,
L-type lectin-domain containing receptor kinase V.4,,O22833,,,,Arabidopsis thaliana,3702,
L-type lectin-domain containing receptor kinase V.5,,Q96285,,,,Arabidopsis thaliana,3702,
L-type lectin-domain containing receptor kinase V.7,,Q9ZR79,,,,Arabidopsis thaliana,3702,
L-type lectin-domain containing receptor kinase V.9,,Q9SZD5,,,,Arabidopsis thaliana,3702,
L-type lectin-domain containing receptor kinase VI.2,,Q9M021,,,,Arabidopsis thaliana,3702,
L-type lectin-domain containing receptor kinase VII.1,,Q9S9U1,,,,Arabidopsis thaliana,3702,
L-type lectin-domain containing receptor kinase VIII.1,,Q9LFH9,,,,Arabidopsis thaliana,3702,
L-type lectin-domain containing receptor kinase VIII.2,,Q9LYX1,,,,Arabidopsis thaliana,3702,
Lactose-binding lectin l-2,,Q90WJ8,,,,Anguilla japonica,7937,
Ladderlectin,,P81018,,,,Oncorhynchus mykiss,8022,
Laforin,,Q9WUA5,,,,Mus musculus,10090,
Laforin,,O95278,"[""4R30"",""4RKK""]",,,Homo sapiens,9606,
Laforin,,Q1M199,,,,Canis lupus familiaris,9615,
Laforin,,Q91XQ2,,,,Rattus norvegicus,10116,
Laminin subunit alpha-2,,Q60675,"[""1DYK"",""1OKQ"",""1QU0"",""2WJS"",""5IK4"",""5IK5"",""5IK7"",""5IK8""]",,,Mus musculus,10090,
Latrophilin Cirl,,Q292N4,,,,Drosophila pseudoobscura pseudoobscura,46245,
Latrophilin Cirl,,B4J780,,,,Drosophila grimshawi,7222,
Latrophilin Cirl,,A1Z7G7,,,,Drosophila melanogaster,7227,
